Sesso,DataNascita,DataDecesso,EtaDecesso
F,1910-05-29,2000-07-31,90
M,1934-08-29,2008-09-29,74
F,1907-11-03,2000-12-04,93
F,1933-06-14,2015-08-23,82
F,1965-09-11,2010-04-06,44
F,1924-10-14,2018-01-20,93
M,1940-10-28,2000-02-10,59
M,1925-03-15,2007-07-02,82
M,1928-12-06,2011-03-16,82
F,1928-12-06,2018-07-17,89
F,1941-11-21,2010-06-28,68
F,1912-01-16,2007-04-02,95
M,1918-05-20,2002-10-31,84
M,1957-03-15,2014-04-02,57
M,1925-05-26,2007-01-11,81
M,1930-11-10,2018-01-21,87
F,1920-10-05,2014-11-25,94
F,1929-10-24,2020-08-05,90
M,1951-07-21,2018-08-11,67
M,1940-12-25,2005-09-30,64
F,1925-11-29,2015-04-14,89
M,1921-07-19,2012-02-15,90
F,1931-09-29,2012-02-19,80
F,1940-10-05,2020-09-26,79
M,1930-09-27,2002-05-14,71
M,1948-02-09,2018-08-25,70
M,1944-04-27,2009-04-25,64
F,1922-08-12,2007-07-23,84
M,1931-06-04,2013-10-04,82
F,1934-02-02,2013-04-08,79
F,1922-09-23,2011-02-13,88
F,1946-05-27,2020-02-19,73
F,1943-04-12,2016-03-28,72
F,1918-11-04,2013-05-14,94
F,1948-01-02,2003-07-28,55
F,1913-09-09,2004-11-05,91
M,1915-07-20,2000-12-24,85
M,1923-12-20,2011-03-15,87
F,1919-09-12,2007-09-18,88
M,1927-03-29,2013-12-05,86
F,1921-07-30,2014-06-18,92
F,1955-05-20,2006-10-03,51
M,1930-04-04,2013-12-04,83
M,1930-02-28,2002-02-04,71
M,1931-11-12,2003-03-07,71
F,1925-09-24,2013-09-20,87
M,1980-06-22,2012-01-11,31
M,1954-08-10,2020-01-09,65
M,1924-03-10,2016-01-31,91
M,1941-10-10,2009-01-14,67
F,1947-02-09,2005-07-29,58
F,1927-08-13,2010-08-04,82
F,1928-09-18,2007-09-01,78
F,1967-02-21,2019-11-21,52
M,1927-07-19,2018-03-29,90
M,1915-09-22,2005-08-13,89
F,1908-02-18,2001-07-02,93
M,1967-04-17,2019-01-30,51
M,1961-12-14,2020-02-05,58
M,1926-02-18,2013-01-18,86
M,1953-09-04,2012-06-27,58
M,1953-03-18,2015-12-15,62
F,1913-02-05,2004-01-23,90
M,1911-05-15,2000-06-07,89
F,1926-05-01,2001-10-17,75
M,1913-05-05,2001-04-27,87
F,1905-07-07,2003-04-10,97
M,1935-02-14,2017-07-16,82
F,1927-02-10,2013-07-24,86
F,1917-02-04,2014-12-07,97
M,1924-11-30,2005-04-09,80
F,1915-08-10,2006-04-08,90
F,1913-06-16,2005-01-07,91
F,1910-05-13,2003-12-30,93
F,1925-10-05,2015-08-11,89
M,1909-02-17,2002-12-12,93
F,1918-06-12,2015-12-01,97
M,1920-08-23,2011-02-27,90
M,1928-04-16,2003-08-27,75
M,1970-09-25,2019-03-18,48
M,1921-04-01,2008-09-01,87
F,1936-02-28,2020-10-06,84
M,1922-12-18,2014-03-24,91
M,1946-12-16,2012-03-29,65
F,1928-05-31,2003-08-13,75
M,1924-04-13,2007-05-01,83
M,1930-09-19,2008-11-30,78
M,1911-08-23,2011-03-16,99
F,1920-07-22,2014-03-09,93
M,1924-10-23,2015-04-05,90
F,1922-01-02,2017-01-30,95
F,1944-08-30,2019-07-08,74
F,1922-02-05,2012-08-24,90
M,1937-08-09,2007-06-30,69
F,1935-03-11,2008-04-04,73
M,1943-08-05,2015-04-16,71
F,1924-03-14,2013-09-05,89
F,1928-05-29,2016-01-26,87
F,1936-01-31,2016-07-06,80
M,1962-01-13,2013-03-26,51
M,1961-04-24,2020-09-22,59
F,1935-01-15,2015-01-16,80
F,1927-05-19,2019-12-23,92
M,1938-03-30,2009-03-12,70
F,1916-10-03,2004-07-15,87
M,1923-03-19,2004-12-12,81
M,1946-02-02,2013-06-14,67
M,1932-01-06,2018-10-15,86
F,1912-03-13,2004-10-14,92
F,1928-05-18,2004-02-23,75
F,1915-10-18,2014-09-05,98
M,1910-11-09,2009-03-07,98
F,1910-09-21,2009-07-12,98
F,1936-08-31,2018-08-29,81
F,1941-09-01,2004-07-26,62
M,1932-10-23,2004-12-07,72
M,1934-06-26,2014-03-04,79
M,1931-02-05,2002-06-10,71
M,1930-01-05,2017-01-19,87
F,1926-03-10,2005-11-27,79
M,1941-02-06,2012-01-22,70
M,1925-04-24,2002-09-12,77
F,2014-01-25,2014-09-13,0
M,1922-05-28,2011-02-07,88
F,1922-04-05,2018-08-22,96
M,1922-05-28,2005-03-13,82
M,1919-10-21,2006-08-11,86
M,1928-05-20,2008-05-12,79
F,1944-12-13,2017-10-30,72
F,1938-04-06,2012-07-15,74
M,1918-01-03,2010-10-05,92
F,1913-03-03,2000-08-06,87
F,1925-04-26,2012-03-11,86
M,1926-05-27,2008-12-24,82
F,1920-04-30,2002-06-07,82
F,1912-11-11,2005-04-03,92
F,1915-05-28,2003-08-17,88
M,1938-03-15,2013-03-12,74
F,1906-09-03,2000-11-15,94
M,1945-04-19,2006-01-23,60
M,1927-06-24,2016-08-08,89
F,1945-10-03,2013-06-10,67
F,1915-09-14,2005-03-27,89
M,1932-02-02,2006-02-02,74
M,1938-04-25,2013-08-14,75
F,1979-07-17,2017-07-23,38
F,1928-09-01,2014-02-23,85
M,1935-02-07,2008-01-06,72
M,1922-04-02,2002-10-17,80
M,1920-02-12,2000-01-02,79
F,1913-07-12,2004-02-01,90
M,1927-05-31,2001-11-17,74
M,1943-06-11,2018-07-15,75
M,1957-11-19,2015-12-24,58
M,1958-04-22,2008-01-24,49
M,1938-12-19,2012-08-11,73
M,1949-12-26,2018-09-15,68
F,1966-06-04,2015-12-04,49
F,1936-12-03,2019-03-25,82
M,1936-03-09,2005-06-19,69
F,1950-06-16,2020-06-21,70
M,1928-06-17,2000-07-06,72
F,1945-08-20,2017-05-09,71
F,1942-01-18,2017-12-28,75
M,1940-05-11,2020-04-24,79
F,1938-06-20,2018-12-11,80
M,1968-06-10,2018-12-24,50
F,1930-05-28,2011-08-12,81
M,1998-01-21,2020-10-18,22
F,1921-06-14,2018-08-22,97
F,1932-07-26,2013-11-25,81
F,1906-10-14,2002-08-19,95
F,1929-06-19,2003-08-08,74
M,1924-04-10,2020-12-07,96
M,1922-11-12,2012-02-27,89
M,1927-03-25,2008-09-10,81
M,1929-12-09,2015-04-19,85
M,1928-08-30,2007-09-26,79
M,1925-11-20,2006-03-09,80
F,1928-01-26,2020-05-29,92
F,1917-07-29,2003-05-30,85
F,1939-09-15,2018-05-15,78
M,1928-05-28,2004-05-27,75
F,1926-08-23,2015-08-22,88
F,1921-10-02,2003-11-29,82
F,1931-01-30,2018-12-29,87
F,1927-03-02,2017-06-19,90
M,1926-09-15,2019-12-07,93
F,1955-11-13,2009-07-13,53
F,1930-11-01,2020-11-19,90
M,1913-02-05,2004-06-23,91
F,1924-04-10,2010-08-04,86
F,1927-08-17,2002-07-01,74
M,1922-03-25,2005-01-24,82
F,1940-02-18,2015-11-18,75
F,1934-05-16,2017-12-25,83
F,1913-11-30,2001-04-22,87
F,1925-04-22,2013-11-17,88
M,1939-10-01,2004-08-20,64
M,1936-11-01,2012-05-10,75
M,1942-03-07,2014-12-30,72
F,1928-07-15,2017-08-30,89
F,1916-06-15,2006-06-24,90
F,1913-08-22,2001-09-25,88
F,1939-08-20,2020-01-16,80
M,1928-11-12,2017-02-01,88
M,1934-02-17,2006-09-27,72
M,1946-08-09,2013-02-22,66
M,1963-08-08,2010-02-06,46
F,1926-12-07,2013-10-21,86
M,1945-09-11,2007-08-31,61
M,1920-04-07,2013-03-09,92
F,1930-09-06,2016-02-17,85
